,ID,class,formula,interface_atom,alphax_el,alphaz_el,ehull,a,dipole,density,dos_at_ef_nosoc,energy,hform,workfunction,efermi,evac,MagpieData mean Polarizability,MagpieData mean Density,MagpieData mean CovalentRadius,MagpieData mean NdValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,PymatgenData mean X,PymatgenData mean atomic_mass,PymatgenData mean atomic_radius,DemlData mean molar_vol,MagpieData mean Polarizability_A,MagpieData mean Density_A,MagpieData mean NpValence_A,MagpieData mean NdValence_A,MagpieData mean NValence_A,PymatgenData mean X_A,PymatgenData mean atomic_radius_A,DemlData mean molar_vol_A,MagpieData mean FirstIonizationEnergy_B,MagpieData mean Density_B,MagpieData mean CovalentRadius_B,MagpieData mean NValence_B,PymatgenData mean X_B,PymatgenData mean atomic_mass_B,PymatgenData mean atomic_radius_B,DemlData mean molar_vol_B,MagpieData mean Polarizability_interface,MagpieData mean Density_interface,MagpieData mean NpValence_interface,MagpieData mean NdValence_interface,MagpieData mean NValence_interface,PymatgenData mean X_interface,PymatgenData mean atomic_radius_interface,DemlData mean molar_vol_interface
171,d794131975388f9b762e25471a44ea97b_t_u,b_t_u,Te1 W1 S1,S1,7.439667709260536,0.4215693308126437,0.0855140244882394,3.3622930342415023,-0.0757774870004003,3.1954683373825614,0.0,-20.02552643347167,-0.4191438465733199,3.6950841135271153,0.4401747313865492,4.135258844913665,6.5,9150.0,135.0,4.666666666666667,4.666666666666667,14.0,1.3333333333333333,2.3466666666666662,114.50166666666668,1.25,15.153333333333334,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,7.86403,19250.0,162.0,20.0,2.36,183.84,1.35,9.47,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
172,3620964e8b87c0391d80e0a94031db49b_t_u,b_t_u,Bi1 Se1 Br1,Se1,3.841873004696061,0.4313725182764948,0.111332371736129,4.077177622318305,0.0573501353739177,2.327112947069501,0.0,-11.155325038551291,-0.4712544624324882,5.9160673648247535,-2.019206216494072,3.8968611483306814,2.4066666666666667,5906.333333333333,129.33333333333334,10.0,4.666666666666667,20.666666666666668,2.0,2.51,122.6148,1.3,19.17,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,7.2855,9780.0,148.0,29.0,2.02,208.9804,1.6,21.31,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
173,e6bbd4f5a19cea66df585228d33626fab_t_u,b_t_u,Hf1 Br1 Cl1,Br1,4.763939409303641,0.3794428353741992,0.0164510018774544,3.4299831479180933,0.0203878189303748,2.6266963223922297,0.0,-14.886924666459048,-1.3370513759263605,3.3395922695532727,0.918281147018537,4.25787341657181,7.1433333333333335,5477.738,132.33333333333334,4.0,4.666666666666667,14.0,0.6666666666666666,2.473333333333333,97.949,1.2333333333333334,16.87,2.18,3.214,5.0,0.0,7.0,3.16,1.0,17.39,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78
174,e98207566da56f617298a4b4f116a892b_t_u,b_t_u,V1 I1 Br1,Br1,8.326363114803375,0.4156180789064523,0.2972828886611133,3.823614958823717,0.0116706792744769,1.8540562108103171,0.4525571866773566,-12.725518716767224,-0.3794924896803635,4.203973372948264,-0.5941766212775184,3.609796751670745,6.825,4723.333333333333,137.33333333333334,7.666666666666667,0.0,13.0,0.6666666666666666,2.4166666666666665,85.91665666666665,1.3,17.94,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72,6.74619,6110.0,153.0,5.0,1.63,50.9415,1.35,8.32,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78
175,473122b8d7223c1562c2dab13579b272b_t_u,b_t_u,Cr1 Se1 S1,S1,9.61764684563848,0.8888984717846319,0.0104243095510744,3.1290047500923213,-0.0387166414930917,1.7510717909861655,0.0,-18.67593322655385,-0.5688273661474845,4.735351146554654,-0.8511541161883377,3.884197030366317,6.09,4639.666666666667,121.33333333333331,5.0,0.0,9.333333333333334,1.3333333333333333,2.263333333333333,54.34036666666666,1.1833333333333331,13.06,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,6.76651,7140.0,139.0,6.0,1.66,51.9961,1.4,7.23,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
176,8232d8f544b17e4a1e80818457b32a02b_t_u,b_t_u,Hf1 Te1 S1,S1,9.63058223639172,0.4080968674845027,0.1641402992516667,3.716427403172621,0.0009615950643706,2.5747619552797065,0.0,-17.931527965087874,-1.0475167072005398,5.30644408928158,-1.1316926149498845,4.174751474331695,8.2,7170.0,139.33333333333334,4.0,4.666666666666667,13.333333333333334,1.3333333333333333,1.9933333333333332,112.71833333333332,1.3166666666666669,16.476666666666667,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
177,4732b5a167814ed6a10e4719c2e44030b_t_u,b_t_u,Te1 Mo1 Se1,Se1,8.542343899674,0.4400249793630901,0.0249622309281362,3.4331870660881054,-0.0403498246847443,2.699000847629221,0.0,-19.327329932292745,-0.4791761941137681,4.145802238046384,0.2467151807479905,4.392517418794375,7.356666666666666,7113.0,137.33333333333334,8.333333333333334,0.0,12.666666666666666,1.3333333333333333,2.27,100.83333333333331,1.3333333333333333,15.420000000000002,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,7.09243,10280.0,154.0,6.0,2.16,95.94,1.45,9.38,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
178,bbd8b5c769238fee3e1467fe25588a0db_t_u,b_t_u,Bi1 Se1 Br1,Se1,4.0816882464400015,0.4055498433458057,0.0,4.188553302729852,0.0303605304585673,2.061673601526813,0.0,-11.48932215375968,-0.5825868341686172,5.735478678615681,-2.465991392979632,3.2694872856360484,2.4066666666666667,5906.333333333333,129.33333333333334,10.0,4.666666666666667,20.666666666666668,2.0,2.51,122.6148,1.3,19.17,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,7.2855,9780.0,148.0,29.0,2.02,208.9804,1.6,21.31,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
179,abcaf7eb7c18ac8e396bb952eff58345b_t_u,b_t_u,Hf1 Bi1 Sb1,Bi1,21.161193858258443,0.6250883628881383,0.261622580420789,3.3130983218075816,0.0324885466398974,4.87885881535438,0.8017607367281404,-16.908966740182223,-0.1075116225789069,4.810483924455235,1.3879628756661893,6.198446800121424,7.733333333333332,9929.0,154.0,7.333333333333333,9.333333333333334,20.666666666666668,2.0,1.79,169.74346666666668,1.5333333333333334,17.646666666666665,6.6,6697.0,3.0,10.0,15.0,2.05,1.45,18.19,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,0.4,9780.0,3.0,10.0,29.0,2.02,1.6,21.31
180,e22e49d8342aaec0dbcd6439589caf85b_t_u,b_t_u,V1 I1 Cl1,Cl1,2.091681150990849,0.3379232254905568,0.05652843254672,3.901256022464083,-0.041669120324261,1.378045979889294,0.0,-14.1136985857577,-0.7753794705236418,3.684039713604237,-0.9783486993066364,2.7056910142976007,6.535,3684.404666666667,131.33333333333334,4.333333333333333,0.0,9.666666666666666,0.6666666666666666,2.4833333333333334,71.09965666666666,1.25,17.143333333333334,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72,6.74619,6110.0,153.0,5.0,1.63,50.9415,1.35,8.32,2.18,3.214,5.0,0.0,7.0,3.16,1.0,17.39
181,9ed6e66acb6ebe68edea01f5bdfd8078b_t_u,b_t_u,Hf1 Te1 S1,S1,9.059310246573771,0.3864951791451087,0.0106302799712203,3.8066186740077614,-0.0061514173528971,2.2946736054934567,0.1713419986244166,-18.392058022929213,-1.2010267264809862,4.653111007704182,-1.0321762284331897,3.6209347792709927,8.2,7170.0,139.33333333333334,4.0,4.666666666666667,13.333333333333334,1.3333333333333333,1.9933333333333332,112.71833333333332,1.3166666666666669,16.476666666666667,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
182,c021e6161f9d84621101b30b2f7ad4fab_t_u,b_t_u,Ti1 Se1 S1,S1,7.1445798464734525,0.3847893946028484,0.1276726795917351,3.4198048193847184,0.0008269015129208,1.428801735338335,0.0,-17.537245052866954,-1.0955419470819852,6.016658762449847,-2.095247253250031,3.921411509199817,7.09,3762.0,128.33333333333334,4.0,0.0,8.666666666666666,1.3333333333333333,2.223333333333333,52.964,1.1833333333333331,14.196666666666667,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,6.82812,4507.0,160.0,4.0,1.54,47.867,1.4,10.64,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
183,7bfd7fdf2c6a55bb2f3b768a6fec5fadb_t_u,b_t_u,Zr1 Te1 S1,S1,9.636829784147189,0.4169466702112474,0.1220103053788648,3.74358296035669,0.0036996856927906,1.8826919872024053,0.0,-18.04455958113129,-1.1195676173082554,5.4094181460665,-1.2780684246535845,4.131349721412915,8.766666666666666,4903.666666666667,139.33333333333334,4.0,0.0,8.666666666666666,1.3333333333333333,2.0033333333333334,83.62966666666667,1.3166666666666669,16.669999999999998,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.6339,6511.0,175.0,4.0,1.33,91.224,1.55,14.02,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
184,32ce0a03fd3a7a288c311ce7391457e8b_t_u,b_t_u,As1 S1 Br1,S1,5.174562859602841,0.38411434459015,0.0275155057537329,3.71741577731905,0.009383831674068,1.3298082932317776,0.0,-11.094268552651856,-0.256172277789199,5.463133850276629,-2.296279241717193,3.166854608559435,3.4199999999999995,3602.333333333333,114.66666666666669,6.666666666666667,0.0,12.666666666666666,2.0,2.5733333333333333,62.296866666666666,1.1,16.086666666666666,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,9.7886,5727.0,119.0,15.0,2.18,74.9216,1.15,12.95,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
185,59f6d76f4d615d294e07a6e9133ee3a2b_t_u,b_t_u,Nb1 Sb1 As1,As1,50.06414618455089,0.5025537130378123,0.4035730787082426,3.400723236537404,-0.0031463156634744,2.4621913893530065,1.8380348332129783,-19.602679792835765,-0.0690046610658209,5.0049535796806985,-0.5811978290980595,4.42375575058264,8.87,6998.0,140.66666666666666,8.0,0.0,11.666666666666666,2.0,1.9433333333333331,96.52932666666668,1.35,13.99,6.6,6697.0,3.0,10.0,15.0,2.05,1.45,18.19,6.75885,8570.0,164.0,5.0,1.6,92.90638,1.45,10.83,4.31,5727.0,3.0,10.0,15.0,2.18,1.15,12.95
186,1b1519e15a5a1ed28db0c7c2d1e1c255b_t_u,b_t_u,Bi1 Te1 Br1,Te1,4.85511155817339,0.4268184837185053,0.0,4.343247070580492,0.0702477550101532,2.1709685025372165,0.0,-10.97526561812054,-0.5038992898973925,5.7122395681377895,-2.203850015119772,3.508389553018018,2.983333333333333,6380.0,135.33333333333334,10.0,4.666666666666667,20.666666666666668,2.0,2.36,138.82813333333334,1.3833333333333335,20.516666666666666,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,7.2855,9780.0,148.0,29.0,2.02,208.9804,1.6,21.31,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46
187,10efd1838e1470e56beaf79e433c4976b_t_u,b_t_u,Hf1 Bi1 Sb1,Bi1,39.420392188238296,0.6103242102076502,0.2568102650165992,3.325386983481524,0.033562103044262,4.528076877158566,1.3200091541321195,-16.923403686394792,-0.1123239379830967,4.786306798996823,0.9937927373631528,5.780099536359976,7.733333333333332,9929.0,154.0,7.333333333333333,9.333333333333334,20.666666666666668,2.0,1.79,169.74346666666668,1.5333333333333334,17.646666666666665,6.6,6697.0,3.0,10.0,15.0,2.05,1.45,18.19,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,0.4,9780.0,3.0,10.0,29.0,2.02,1.6,21.31
188,e04ffda3d4485b8e0fbc1ec02927b2e9b_t_u,b_t_u,Sb1 Se1 Br1,Se1,4.780029799223636,0.4066359530485104,0.0,4.075942729931981,0.0384858416151555,1.6609345482524496,0.0,-10.805612244234878,-0.4440280572374568,5.586959868742063,-2.2377908059102,3.349169062831864,4.473333333333333,4878.666666666667,126.33333333333331,10.0,0.0,16.0,2.0,2.52,93.54133333333334,1.2499999999999998,18.13,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
189,8d5c141e7f7f8b7272519a3e2a14dd85b_t_u,b_t_u,Hf1 Te1 Se1,Se1,8.354472866451585,0.4266159010810004,0.1493500717563248,3.789671367028712,0.0060905874857369,2.8195941724810525,0.0,-17.015657312184818,-0.9406476531328908,5.40856190994542,-1.1503030460456192,4.258258863899801,8.49,8123.0,144.33333333333334,7.333333333333333,4.666666666666667,16.666666666666668,1.3333333333333333,1.9833333333333327,128.35,1.3666666666666665,16.773333333333333,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
190,8330cc25fcbfc609fe2b04d7581ba781b_t_u,b_t_u,V1 Se1 S1,S1,8.857313025048626,0.3836411738804367,0.0,3.2644435824051787,-0.021914642550982,1.5983778045313866,0.6013514121826699,-18.4674188021422,-0.7941691774080475,5.37380080337138,-1.5210509102237724,3.852749893147608,6.3566666666666665,4296.333333333333,126.0,4.333333333333333,0.0,9.0,1.3333333333333333,2.2533333333333334,53.98883333333333,1.1666666666666667,13.423333333333334,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,6.74619,6110.0,153.0,5.0,1.63,50.9415,1.35,8.32,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
191,f58381dfcf047cb67a466e09b0f22825b_t_u,b_t_u,Zr1 Te1 S1,S1,11.764934797779215,0.3965899853479596,0.0,3.82425753054496,-0.0048485048885988,1.6868296019571127,0.1597628856256615,-18.410590497267886,-1.2415779226871202,4.768230671329957,-1.1726395819829478,3.595591089347009,8.766666666666666,4903.666666666667,139.33333333333334,4.0,0.0,8.666666666666666,1.3333333333333333,2.0033333333333334,83.62966666666667,1.3166666666666669,16.669999999999998,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.6339,6511.0,175.0,4.0,1.33,91.224,1.55,14.02,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
192,341260ca28c65e522fb92e71d0f93bb8b_t_u,b_t_u,Bi1 Te1 Br1,Te1,4.6807097414172905,0.4567685551674213,0.1166433965128081,4.22183109273969,0.1027443546554022,2.4573646600193246,0.0,-10.625335428582115,-0.3872558933845844,5.919466195666656,-1.7368772338283598,4.182588961838296,2.983333333333333,6380.0,135.33333333333334,10.0,4.666666666666667,20.666666666666668,2.0,2.36,138.82813333333334,1.3833333333333335,20.516666666666666,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,7.2855,9780.0,148.0,29.0,2.02,208.9804,1.6,21.31,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46
193,d95f91ed3a3badc1a62e44b7491d385ab_t_u,b_t_u,Zr1 I1 Br1,Br1,6.654068991580449,0.4316037875549102,0.0379893288168005,3.702825865538161,-0.0273968538994289,2.2859650278360637,0.0,-13.723863664315417,-1.085961018158449,3.0073093872761483,0.947452146274838,3.9547615335509865,8.658333333333333,4857.0,144.66666666666666,7.333333333333333,0.0,12.666666666666666,0.6666666666666666,2.316666666666667,99.34415666666666,1.3666666666666665,19.84,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72,6.6339,6511.0,175.0,4.0,1.33,91.224,1.55,14.02,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78
194,ffa90fa643cbf16baaa946fed78f7accb_t_u,b_t_u,Sb1 Se1 Br1,Se1,4.618579651264442,0.4336251811517898,0.1236903396303195,3.965579702901168,0.0659177509405076,1.876653193020633,0.0,-10.43454122534392,-0.3203377176071373,5.863505196996558,-1.8636004394283017,3.999904757568256,4.473333333333333,4878.666666666667,126.33333333333331,10.0,0.0,16.0,2.0,2.52,93.54133333333334,1.2499999999999998,18.13,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
195,24692bca8752e6ed99f4ad643099c81eb_t_u,b_t_u,Cr1 Te1 S1,S1,12.487527814824228,0.8856963147170808,0.1606512048991932,3.271502167752069,-0.0804657930784396,2.0797886386043727,0.0,-17.644343413456777,-0.3176287293902824,4.067676204547741,-0.4159963030399736,3.651679901507768,6.666666666666667,5113.333333333333,127.33333333333331,5.0,0.0,9.333333333333334,1.3333333333333333,2.1133333333333333,70.55369999999999,1.2666666666666666,14.406666666666666,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.76651,7140.0,139.0,6.0,1.66,51.9961,1.4,7.23,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
196,279a930ee5d88dc06c5738d633ac2df5b_t_u,b_t_u,Hf1 Te1 Se1,Se1,22.51852088668153,0.4061490645986879,0.0062747055119782,3.871791610081613,-0.0018946836662975,2.525672486862136,0.1831990525790272,-17.444883410917857,-1.0837230193772374,4.77068642487609,-1.0584682908842702,3.71221813399182,8.49,8123.0,144.33333333333334,7.333333333333333,4.666666666666667,16.666666666666668,1.3333333333333333,1.9833333333333327,128.35,1.3666666666666665,16.773333333333333,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.82507,13310.0,175.0,18.0,1.3,178.49,1.55,13.44,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
197,58f6f4446c6ed48508248e83cd842c5bb_t_u,b_t_u,V1 Se1 S1,S1,15.253501485456685,0.3787809649980104,0.0142669851677723,3.278751240163118,-0.0259855249164356,1.481467457779351,1.3845187772315397,-18.42461784663888,-0.7799021922402751,4.981892678658277,-1.4971415045051326,3.484751174153145,6.3566666666666665,4296.333333333333,126.0,4.333333333333333,0.0,9.0,1.3333333333333333,2.2533333333333334,53.98883333333333,1.1666666666666667,13.423333333333334,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,6.74619,6110.0,153.0,5.0,1.63,50.9415,1.35,8.32,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
198,514f4212ab45e206245e7949ab597cd5b_t_u,b_t_u,Ta1 Te1 Se1,Se1,51.957356300400384,0.4293215025101285,0.0507931606561975,3.598101193132609,-0.0283585980808051,2.943185574127773,2.479049660245392,-18.18631424453324,-0.5607387671575145,4.207341531113834,-0.2674249529217591,3.939916578192075,7.456666666666667,9236.333333333334,142.66666666666666,7.666666666666667,4.666666666666667,17.0,1.3333333333333333,2.0500000000000003,129.16929333333334,1.3333333333333333,15.910000000000002,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,7.54957,16650.0,170.0,19.0,1.5,180.94788,1.45,10.85,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
199,5dcabda3a71bf158dd6ddfdf4722a5d5b_t_u,b_t_u,As1 Se1 Br1,Se1,5.746772768818955,0.4289815544746002,0.1607669103470807,3.716089991545136,0.0744511626566469,1.7804012456526863,0.0,-10.13163010856393,-0.1337139599932613,5.925365951812007,-1.809119118722736,4.116246833089272,3.71,4555.333333333333,119.66666666666669,10.0,0.0,16.0,2.0,2.563333333333333,77.92853333333333,1.15,16.383333333333336,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,9.7886,5727.0,119.0,15.0,2.18,74.9216,1.15,12.95,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
200,2620e37b1c3fe5a8f62369d88ecf1018b_t_u,b_t_u,Ta1 Sb1 As1,As1,31.050182942707856,0.4892225647769456,0.3683437610297269,3.421386278190216,-0.0034096775061897,3.172090187014611,4.709777434064399,-18.921846348768742,-0.0120347695727893,4.962414203114201,-0.5431024617385242,4.419311741375677,8.003333333333332,9691.333333333334,142.66666666666666,7.666666666666667,4.666666666666667,16.333333333333332,2.0,1.91,125.87649333333331,1.35,13.996666666666664,6.6,6697.0,3.0,10.0,15.0,2.05,1.45,18.19,7.54957,16650.0,170.0,19.0,1.5,180.94788,1.45,10.85,4.31,5727.0,3.0,10.0,15.0,2.18,1.15,12.95
201,fffe13b5fd948fa9e18f843e890b0297b_t_u,b_t_u,Ti1 Bi1 Sb1,Bi1,36.75125759960914,0.6053701781301183,0.2738962690134202,3.271197473061457,0.0316620398694138,3.720901310926356,1.1762452815612945,-15.897831884349554,-0.0425841821982579,4.874026206269244,0.9272043189143576,5.801230525183602,7.2,6994.666666666667,149.0,7.333333333333333,4.666666666666667,16.0,2.0,1.87,126.20246666666668,1.4833333333333334,16.713333333333335,6.6,6697.0,3.0,10.0,15.0,2.05,1.45,18.19,6.82812,4507.0,160.0,4.0,1.54,47.867,1.4,10.64,0.4,9780.0,3.0,10.0,29.0,2.02,1.6,21.31
202,aa1a959ee5423cbae472e588415224c5b_t_u,b_t_u,Sb1 Te1 Br1,Te1,5.594389456598703,0.4274818159614666,0.0,4.235230973159131,0.0795423942735549,1.8049862758653563,0.0,-10.326665163620792,-0.3770436646412503,5.598076831890257,-1.9959491385354384,3.6021276933548183,5.05,5352.333333333333,132.33333333333334,10.0,0.0,16.0,2.0,2.37,109.75466666666668,1.3333333333333333,19.47666666666667,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46
203,fcacf583900917935aa41cf1c4d31d79b_t_u,b_t_u,W1 Se1 S1,S1,6.095788889834637,0.3926867204940777,0.0101682533721365,3.252142315384611,-0.0369446825609575,2.931951070834975,0.0,-21.21746869944544,-0.7237933009560878,4.202947852023356,0.1130669691691924,4.316014821192549,5.923333333333333,8676.333333333334,129.0,4.666666666666667,4.666666666666667,14.0,1.3333333333333333,2.4966666666666666,98.28833333333334,1.1666666666666667,13.806666666666668,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,7.86403,19250.0,162.0,20.0,2.36,183.84,1.35,9.47,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
204,7c0df8153281d4425b44fd6f0efe6268b_t_u,b_t_u,Nb1 Bi1 As1,As1,29.531045050592084,0.5048020500349226,0.4473480351922217,3.4714355119188323,-0.0322787716884897,3.074582871091097,2.23031316404253,-19.73938850211515,-0.0252297045818418,4.381414448162256,-0.2705359332145266,4.110878514947729,6.803333333333332,8025.666666666667,143.66666666666666,8.0,4.666666666666667,16.333333333333332,2.0,1.9333333333333336,125.60279333333334,1.3999999999999997,15.03,0.4,9780.0,3.0,10.0,29.0,2.02,1.6,21.31,6.75885,8570.0,164.0,5.0,1.6,92.90638,1.45,10.83,4.31,5727.0,3.0,10.0,15.0,2.18,1.15,12.95
205,7c69d499f267c446c113ef3f6d2ff1ceb_t_u,b_t_u,As1 Se1 Br1,Se1,5.8134463809641925,0.4001692656888272,0.0,3.81605535048901,0.0439764539976556,1.5786006635134553,0.0,-10.613930839605173,-0.2944808703403421,5.591123950775145,-2.1666540066987645,3.4244699440763813,3.71,4555.333333333333,119.66666666666669,10.0,0.0,16.0,2.0,2.563333333333333,77.92853333333333,1.15,16.383333333333336,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,9.7886,5727.0,119.0,15.0,2.18,74.9216,1.15,12.95,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
206,c8e386e9b8b8256657f85e6a0dc27b78b_t_u,b_t_u,Ti1 Bi1 Sb1,Bi1,58.09848053484681,0.5930086094945978,0.2547801186284667,3.289868292662148,0.0325627114073656,3.439663272874809,1.922013797430879,-15.955180335504414,-0.0617003325832114,4.862488455441838,0.5238606483061448,5.386349103747983,7.2,6994.666666666667,149.0,7.333333333333333,4.666666666666667,16.0,2.0,1.87,126.20246666666668,1.4833333333333334,16.713333333333335,6.6,6697.0,3.0,10.0,15.0,2.05,1.45,18.19,6.82812,4507.0,160.0,4.0,1.54,47.867,1.4,10.64,0.4,9780.0,3.0,10.0,29.0,2.02,1.6,21.31
207,ad38280446c3533a44525c3b9560b545b_t_u,b_t_u,Sb1 Te1 Br1,Te1,5.6059021606964,0.4589057685910503,0.1298375808975897,4.110853692867772,0.1114474618197495,2.0490510880720287,0.0,-9.937152420928022,-0.2472060837436605,5.916792702131305,-1.615360585745815,4.30143211638549,5.05,5352.333333333333,132.33333333333334,10.0,0.0,16.0,2.0,2.37,109.75466666666668,1.3333333333333333,19.47666666666667,3.05,3120.0,5.0,10.0,17.0,2.96,1.15,19.78,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46
208,434578584658a0e9feb36ee0e7a9f535b_t_u,b_t_u,Cr1 Te1 Se1,Se1,12.352926131820466,0.8780990738441025,0.1108712429465513,3.346594615254824,-0.0419904988592283,2.427846079596854,0.0,-16.905443704978648,-0.2697499901309423,4.346856280043305,-0.2660709746762967,4.080785305367008,6.956666666666666,6066.333333333333,132.33333333333334,8.333333333333334,0.0,12.666666666666666,1.3333333333333333,2.103333333333333,86.18536666666667,1.3166666666666669,14.703333333333331,5.5,6240.0,4.0,10.0,16.0,2.1,1.4,20.46,6.76651,7140.0,139.0,6.0,1.66,51.9961,1.4,7.23,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
209,2c8a9fdb59689bb1addd1ad0b16dd8fab_t_u,b_t_u,Sb1 Se1 I1,Se1,5.6767507046084456,0.4685648971699896,0.1490861766727012,4.053317595232307,0.0241407685129613,2.0971410479617774,0.0,-9.915174644705266,-0.1825988200940956,5.325698888016284,-1.3671316374923854,3.9585672505238985,5.131666666666667,5485.333333333333,132.66666666666666,10.0,0.0,16.0,2.0,2.42,109.20815666666664,1.3333333333333333,20.11,5.025,4940.0,5.0,10.0,17.0,2.66,1.4,25.72,8.60839,6697.0,139.0,15.0,2.05,121.76,1.45,18.19,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42
210,29e0fc97d7c0334ca610694d74fc2607b_t_u,b_t_u,Nb1 Se1 S1,S1,15.839891217294143,0.3841283697987165,0.0363129628208416,3.433866879298737,-0.0240546510713145,1.7005954109387666,2.027871617161108,-20.726990574702143,-0.9465704895093138,4.856249341648737,-1.1464585558470064,3.7097907858017294,7.456666666666666,5116.333333333333,129.66666666666666,4.666666666666667,0.0,9.0,1.3333333333333333,2.243333333333333,67.97712666666666,1.2,14.26,3.77,4819.0,4.0,10.0,16.0,2.55,1.15,16.42,6.75885,8570.0,164.0,5.0,1.6,92.90638,1.45,10.83,2.9,1960.0,4.0,0.0,6.0,2.58,1.0,15.53
